Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2
0.281681878,0.177964095,0.696365715,0.149176246,0.191549386,0.227824558,0.17760625,0.111846288,0.76324356,0.203542513,0.096577252,0.134988509,0.121203035,0.07371649,0.738236262,0.143031884,0.105925048,0.074060708,0.699227068,0.311990756,0.265824345,0.277099036
0.281681878,0.177964095,0.658524888,0.201091907,0.29890148,0.246135308,0.17760625,0.111846288,0.717805722,0.271932936,0.108895974,0.12857808,0.121203035,0.07371649,0.690347061,0.17944282,0.138039481,0.116900429,0.641128043,0.352957138,0.252821108,0.261125517
0.281681878,0.177964095,0.579566324,0.20407705,0.290583153,0.258228908,0.17760625,0.111846288,0.635275021,0.31579891,0.141983954,0.143844856,0.121203035,0.07371649,0.647896535,0.208382635,0.169851525,0.139245213,0.577648923,0.333692912,0.286340966,0.194051297
0.281681878,0.177964095,0.444922195,0.215157591,0.241560067,0.242008097,0.17760625,0.111846288,0.512805661,0.337438577,0.187008967,0.186200447,0.121203035,0.07371649,0.566903263,0.20675337,0.181783423,0.146910294,0.490586138,0.318458472,0.312480249,0.141502324
0.281681878,0.177964095,0.239614829,0.203549525,0.19277354,0.164248058,0.17760625,0.111846288,0.228798803,0.382614746,0.209007861,0.199318096,0.121203035,0.07371649,0.332018428,0.204492097,0.179549552,0.168331762,0.208307264,0.300434535,0.271509433,0.12751532
0.281681878,0.177964095,0.042520503,0.209512866,0.13965865,0.120391437,0.17760625,0.111846288,0.016394313,0.46598239,0.318519415,0.284895348,0.121203035,0.07371649,0.043885184,0.217057165,0.182153159,0.178397171,0.010209836,0.25054213,0.204558301,0.130096592
0.281681878,0.177964095,0,0.214375849,0.169896762,0.126610444,0.17760625,0.111846288,0,0.558428761,0.455752445,0.351929076,0.121203035,0.07371649,0,0.271821607,0.232834999,0.191391457,0,0.259093637,0.201063366,0.178910987
0.281681878,0.177964095,0,0.183256425,0.141996292,0.125728468,0.17760625,0.111846288,0,0.52028089,0.522040226,0.261898685,0.121203035,0.07371649,0,0.282446786,0.2391198,0.209403409,0,0.254048415,0.181676974,0.194776904
0.281681878,0.177964095,0,0.177886001,0.116440804,0.118984888,0.17760625,0.111846288,0,0.4852338,0.537324066,0.25125187,0.121203035,0.07371649,0,0.294805714,0.239693799,0.18406607,0,0.214362473,0.159809956,0.139987659
0.281681878,0.177964095,0,0.169305249,0.124404065,0.101487721,0.17760625,0.111846288,0,0.500442628,0.542374663,0.217732448,0.121203035,0.07371649,0,0.286673858,0.212484989,0.133644143,0,0.188846311,0.20062976,0.182011983
0.281681878,0.177964095,0,0.141700353,0.091795226,0.068241799,0.17760625,0.111846288,0,0.520710629,0.526945169,0.204177426,0.121203035,0.07371649,0,0.265710523,0.19200946,0.099569147,0,0.194465707,0.238962909,0.237381517
0.281681878,0.177964095,0,0.108698587,0.059764167,0.049429515,0.17760625,0.111846288,0,0.525491143,0.494099157,0.187701808,0.121203035,0.07371649,0,0.251620079,0.179182421,0.088566877,0,0.220229782,0.25735752,0.293247991
0.281681878,0.177964095,0,0.095001071,0.047868487,0.033617024,0.17760625,0.111846288,0,0.51690513,0.461135056,0.145976984,0.121203035,0.07371649,0,0.231765635,0.158013766,0.074706733,0,0.262852289,0.271203572,0.317456409
0.281681878,0.177964095,0,0.101303921,0.057131936,0.027009637,0.17760625,0.111846288,0,0.501520509,0.414847414,0.11780889,0.121203035,0.07371649,0,0.215122067,0.143773225,0.064190197,0,0.263945524,0.273832704,0.314150469
0.281681878,0.177964095,0,0.073017264,0.049570392,0.02556304,0.17760625,0.111846288,0,0.485364388,0.379778841,0.112055296,0.121203035,0.07371649,0,0.194907417,0.129590037,0.051632305,0,0.260048766,0.276766661,0.303257555
0.281681878,0.177964095,0.01,0.06302038,0.04320923,0.015392525,0.17760625,0.111846288,0.046629851,0.466137942,0.360278946,0.10907037,0.121203035,0.07371649,0.011340395,0.170716493,0.107235349,0.046240476,0.014326484,0.223926803,0.262589054,0.303521978
0.281681878,0.177964095,0.167576147,0.075418413,0.048574653,0.014118386,0.17760625,0.111846288,0.359243689,0.354546372,0.291852807,0.093271721,0.121203035,0.07371649,0.242897695,0.142994196,0.093129849,0.039397937,0.269292715,0.167346778,0.240652293,0.26736137
0.281681878,0.177964095,0.500895663,0.060425798,0.025985109,0,0.17760625,0.111846288,0.660727716,0.161760563,0.093715187,0.028016807,0.121203035,0.07371649,0.632314501,0.048347453,0.029942758,0.010397848,0.618164861,0.097717667,0.082432074,0.08307854
0.281681878,0.177964095,0.689155972,0.016532995,0.01,0,0.17760625,0.111846288,0.785787671,0.161731562,0.096680136,0.035499257,0.121203035,0.07371649,0.785673799,0.01238726,0.01,0,0.728179942,0.099574958,0.074218817,0.078006628
0.281681878,0.177964095,0.776945033,0.020563604,0.01494017,0.014313546,0.17760625,0.111846288,0.839924135,0.161909223,0.108745103,0.04325835,0.121203035,0.07371649,0.842806766,0.01,0,0,0.757789173,0.134186718,0.107487016,0.122801843
0.281681878,0.177964095,0.795901337,0.021083759,0.024532858,0.049628583,0.17760625,0.111846288,0.863761104,0.153180722,0.108631068,0.070087033,0.121203035,0.07371649,0.819722971,0.01,0,0,0.738429017,0.183936513,0.134476057,0.159176881
0.281681878,0.177964095,0.765027517,0.02724956,0.038113227,0.088941286,0.17760625,0.111846288,0.849955791,0.145150941,0.099769193,0.111060564,0.121203035,0.07371649,0.777210568,0.016655358,0,0.01,0.714803717,0.234645993,0.16220033,0.19150147
0.281681878,0.177964095,0.716243062,0.056305608,0.069840237,0.169538255,0.17760625,0.111846288,0.828451437,0.14810318,0.112432695,0.248892847,0.121203035,0.07371649,0.786644801,0.034982088,0.01,0.01,0.654796805,0.304344987,0.214968292,0.234023532
0.281681878,0.177964095,0.674481212,0.145557442,0.145880676,0.257261899,0.17760625,0.111846288,0.803437531,0.172269622,0.156976908,0.285326227,0.121203035,0.07371649,0.782206969,0.057618099,0.020543565,0.017210713,0.54693188,0.373069141,0.2696709,0.279030403
0.281681878,0.177964095,0.621950097,0.242228337,0.187505801,0.238986183,0.17760625,0.111846288,0.782292253,0.232779542,0.209759547,0.274833886,0.121203035,0.07371649,0.760950017,0.088436469,0.043977391,0.032702721,0.497537545,0.34455495,0.263475493,0.253831848
